Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
20	no MS2: isokaempferide	446	0.945	1.688	2.590	299.05609	1068	23546	1.000	1068.12500	4.909	0.851	1.000	0.668		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	299.05609	C16H12O6	null	VJJZJBUCDWKPLC-UHFFFAOYSA-N	O=C1C(OC)=C(OC=2C=C(O)C=C(O)C12)C=3C=CC(O)=CC3	530	False	True	False	0.00	1.00	0.000	0.000	0.000	-1.00	-1.00	0.333	1068.12500	299.05609:1220	null
21	low score: Triptophenolide	446	1.408	1.688	2.792	311.16769	13063	304889	90.809	143.84990	17.849	0.801	0.999	0.566		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	311.16525	C20H24O3	Oxosteroids	KPXIBWGPZSPABK-FXAWDEMLSA-N	O=C1OCC2=C1CCC3(C4=CC=C(C(O)=C4CCC23)C(C)C)C	530	False	True	False	0.00	0.97	0.641	0.691	0.938	2.00	1.00	1.631	143.84990	311.16769:15146 312.17059:3202 313.16730:866	79.95641:1906 95.95189:636 96.95863:4080 119.04948:1572 170.00687:706 183.01335:20436 184.01820:2736 185.00883:784 197.02980:618 309.17310:3110 310.17606:758 311.16788:22830 312.17142:4394 313.07385:774 313.16425:834
22	Unknown	446	0.865	1.688	2.741	312.17059	2508	55320	1.000	2508.00000	8.048	0.817	1.000	0.566		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2508.00000	312.17059:3202 313.16730:866	null
23	low score: 3',4',5,7-Tetrahydroxy-6,8-dimethoxyflavone	446	0.865	1.688	2.741	345.06436	5897	128416	1.000	5896.50000	12.931	0.788	1.000	0.566		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	345.06161	C17H14O8	null	GLMWHQIFJIURES-UHFFFAOYSA-N		530	False	True	False	0.00	0.96	0.334	0.443	0.882	1.00	0.50	1.247	5896.50000	345.06436:6920 346.06854:1458 347.06378:666	79.95668:3536 96.95914:5134 137.02298:732 165.02080:2148 180.04404:2544 195.06711:866 207.06543:1536 235.06038:1026 250.08316:1706 265.10770:3682 266.11069:902 344.11581:642 345.06454:3564
24	low score: Methyl 4-formyl-3-hydroxy-2-naphthoate	460	0.824	1.737	2.890	229.05386	4974	101383	1.000	4973.87500	13.579	0.981	1.000	0.997		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	229.05060	C13H10O4	null	ARFUXYZIGVDKTR-UHFFFAOYSA-N		530	False	True	False	0.00	0.95	0.288	0.327	0.848	1.00	0.50	1.147	4973.87500	229.05386:7414 230.05751:1264	79.95619:5778 107.03653:742 122.03589:612 147.08186:600 149.06108:890 149.09726:11386 150.05684:1556 150.10078:1290 151.07693:1790 229.05319:2348
25	(1'S,2'S)-3',11'-dihydroxy-1',2',5'-trimethyl-8'-oxaspiro[oxirane-2,12'-tricyclo[7.2.1.0?,?]dodecan]-5'-en-4'-one	460	0.945	1.737	2.641	279.12698	1870	40382	1.000	1869.50000	6.814	0.909	1.000	0.820		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	279.12378	C15H20O5	null	RSFFUWNYMOEBFP-RUIYBKDTSA-N	O=C1C(=CC2OC3CC(O)C(C)(C43OC4)C2(C)C1O)C	430	False	True	True	0.00	0.95	0.834	0.826	0.934	3.00	0.75	1.742	1869.50000	279.12698:2052 280.13074:528	79.95605:2090 96.95910:8548 98.95490:626 197.06392:978 279.12500:2674 279.16342:1664 280.96133:1418 281.24734:724
26	Unknown	460	0.968	1.737	2.590	291.03375	1931	35526	1.000	1930.87500	8.148	0.946	1.000	0.791		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1930.87500	291.03375:2312	79.95605:2282 80.96351:766 96.95942:5460 196.05710:2166 291.03665:2522 293.17941:2200
27	C10-LAS (TENTATIVE)	460	1.222	1.737	2.890	297.15265	4433	107540	1.000	4433.25000	10.143	0.828	1.000	0.614		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	297.15298	C16H26O3S	NA	NANHIUZYPFDGJS-UHFFFAOYNA-N	CCCCCCC(CCC)C1=CC=C(C=C1)S(O)(=O)=O	430	False	True	True	0.00	1.00	0.711	0.730	0.866	3.00	0.75	1.634	4433.25000	297.15265:5388 298.15497:1086 299.15146:356	79.95625:1196 96.95869:2136 119.04991:848 125.02393:686 149.06154:1224 183.01315:8350 184.01834:1004 206.05931:600 219.10292:738 221.08067:602 295.15781:1182 297.15152:8878 298.15137:1572 299.05768:1024
28	no MS2: 1-(4-Chlorophenyl)-2-methyl-3-nitro-1H-indol-6-ol	460	0.846	1.737	2.191	301.03763	2289	56131	1.000	2288.50000	7.444	0.732	0.989	0.547		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	301.03851	C15H11ClN2O3	null	CDGIPMGXUYMVCT-UHFFFAOYSA-N		530	False	True	False	0.00	1.00	0.000	0.000	0.000	-1.00	-1.00	0.331	2288.50000	301.03763:2844 302.04044:528 303.03287:352	null
29	no MS2: Lactitol	460	0.824	1.737	2.092	343.12192	2264	42338	1.000	2264.25000	6.778	0.773	1.000	0.441		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	343.12457	C12H24O11	Fatty acyl glycosides of mono- and disaccharides	VQHSOMBJVWLPSR-UHFFFAOYNA-N	OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO	530	False	True	False	0.00	0.97	0.000	0.000	0.000	-1.00	-1.00	0.316	2264.25000	343.12192:2846 344.11618:2942 345.11765:724	null
