Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
22	low score: Oleic acid	527	1.871	2.067	2.439	281.24719	3708	94649	62.386	31.62161	4.157	0.636	0.998	0.558		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	281.24860	C18H34O2	Long-chain fatty acids	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	CCCCCCCC\C=C/CCCCCCCC(O)=O	530	False	True	False	0.00	0.99	0.250	0.234	0.932	2.00	1.00	1.215	31.62161	281.24719:4362 282.24997:608	280.96115:1014 281.24518:2078 282.24954:662 283.26199:34138 284.26501:5398
23	Stearic acid	527	1.724	2.067	3.213	283.26221	43932	1255405	65.870	626.65090	23.377	0.608	0.999	0.395		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	283.26425	C18H36O2	Long-chain fatty acids	QIQXTHQIDYTFRH-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCC(O)=O	430	False	True	True	0.00	0.98	0.956	0.903	0.932	3.00	0.75	1.855	626.65090	283.26221:49970 284.26584:9316 285.26715:756	281.24744:2510 282.24823:824 283.26233:34476 284.26553:8856 285.26654:672
24	Unknown	527	1.724	2.067	2.566	284.26584	8581	195194	124.673	64.47986	10.055	0.662	0.999	0.517		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	64.47986	284.26584:9316 285.26715:756	null
25	low score: Heptadecanoic acid	550	1.369	2.160	2.525	269.24591	1564	30994	60.486	25.85927	4.386	0.745	1.000	0.761		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	269.24860	C17H34O2	Long-chain fatty acids	KEMQGTRYUADPNZ-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCC(O)=O	530	False	True	False	0.00	0.96	0.377	0.491	0.882	1.00	0.50	1.294	25.85927	269.24591:1702 270.25214:350	79.95545:2026 166.05495:4150 269.24673:1194
26	low score: Palmitic acid (NMR)	552	1.822	2.167	3.002	255.23100	45114	1111361	86.630	495.93970	20.721	0.734	1.000	0.529		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(O)=O	530	False	True	False	0.00	0.98	0.993	0.934	0.935	2.00	1.00	1.933	495.93970	255.23100:48578 256.23410:8528 257.23889:924	255.23087:34716 256.23422:6970 257.23825:626
27	Unknown	552	1.773	2.167	2.805	256.23410	8140	189754	110.931	70.67694	9.093	0.739	1.000	0.529		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	70.67694	256.23410:8528 257.23889:924	null
28	low score: Pentadecanoic acid	562	1.724	2.208	2.609	241.21507	2571	53961	88.025	29.20185	4.594	0.787	0.964	0.832		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	241.21730	C15H30O2	Long-chain fatty acids	WQEPLUUGTLDZJY-UHFFFAOYSA-N	CCCCCCCCCCCCCCC(O)=O	530	False	True	False	0.00	0.98	0.213	0.306	0.894	1.00	0.50	1.129	29.20185	241.21471:2794 242.21829:526	68.99426:10096 74.98914:1880 91.01984:710 111.99980:1078 112.98399:12086 149.00798:742 182.98892:814 223.02797:1844 224.02713:772 241.21619:1596
29	Unknown	562	1.415	2.208	2.934	257.23737	1086	19052	1.000	1085.50000	3.777	0.884	1.000	0.884		[M-H]-	2		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1085.50000	257.23737:1648	null
30	low score: Myristic acid	579	1.871	2.274	2.873	227.20016	4019	94730	108.071	36.94804	5.563	0.689	1.000	0.707		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	227.20166	C14H28O2	Long-chain fatty acids	TUNFSRHWOTWDNC-UHFFFAOYSA-N	CCCCCCCCCCCCCC(O)=O	530	False	True	False	0.00	0.99	0.806	0.859	0.894	1.00	0.50	1.709	36.94804	227.20016:4098 228.20309:904	112.98579:600 227.20038:1552
31	no MS2: Lauric acid	615	2.067	2.415	2.751	199.16966	2834	55176	87.931	32.22549	4.689	0.798	0.997	0.630		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	199.17035	C12H24O2	Medium-chain fatty acids	POULHZVOKOAJMA-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCC	530	False	True	False	0.00	1.00	0.000	0.000	0.000	-1.00	-1.00	0.332	32.22549	199.16966:3176 200.17464:506	null
