Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,100-1_P1-C-1_01_13558,100-10_P1-C-1_01_13567,100-11_P1-C-1_01_13568,100-12_P1-C-1_01_13569,100-13_P1-C-1_01_13570,100-14_P1-C-1_01_13571,100-15_P1-C-1_01_13572,100-16_P1-C-1_01_13573,100-17_P1-C-1_01_13574,100-18_P1-C-1_01_13575,100-19_P1-C-1_01_13576,100-2_P1-C-1_01_13559,100-20_P1-C-1_01_13577,100-21_P1-C-1_01_13578,100-22_P1-C-1_01_13579,100-23_P1-C-1_01_13580,100-24_P1-C-1_01_13581,100-25_P1-C-1_01_13582,100-3_P1-C-1_01_13560,100-4_P1-C-1_01_13561,100-5_P1-C-1_01_13562,100-6_P1-C-1_01_13563,100-7_P1-C-1_01_13564,100-8_P1-C-1_01_13565,100-9_P1-C-1_01_13566
21,5.04,64.96952,Unknown,[M-H]-,null,0.48,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,21,0,0,null,null,null,null,null,null,null,1155.28,100-7_P1-C-1_01_13564,64.96952:2072 65.97419:0 66.97886:0,null,1026,1141,1275,1202,1242,1149,911,1103,944,1152,1053,790,1145,1044,1020,1040,1054,1148,1183,1108,1354,1082,1600,1267,1129
22,6.55,68.00043,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,22,0,0,null,null,null,null,null,null,null,1310.64,100-16_P1-C-1_01_13573,68.00043:2282 69.00509:682 70.00976:0,null,1277,1309,1422,1403,1398,1370,1332,1569,1299,1341,1248,1081,1223,1318,1436,1399,1199,1094,1167,1269,1367,1292,1226,1346,1382
23,0.163,68.99458,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,23,0,0,null,null,null,null,null,null,null,13.01,100-23_P1-C-1_01_13580,68.99458:2892 69.99925:0 71.00392:0,null,1468,2233,1884,1999,2032,1449,1194,2404,1604,1864,2518,1542,1845,1464,1868,2607,1797,1517,1486,2518,1451,1815,2488,1873,1667
24,3.231,68.99482,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,24,0,0,null,null,null,null,null,null,null,39.35,100-20_P1-C-1_01_13577,68.99482:9076 69.99949:0 71.00416:0,null,4352,4850,4486,4091,4297,3983,4119,4249,4709,4648,4812,4239,4943,3958,4333,4798,3866,4402,4782,4796,4391,4296,4354,4364,4503
25,5.383,71.0124,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,25,0,0,null,null,null,null,null,null,null,11143.12,100-18_P1-C-1_01_13575,71.01240:16244 72.01707:410 73.02173:736,null,10632,11652,11101,11400,12032,11011,10570,11533,10943,12135,10481,11410,11506,11181,11194,11618,11053,11513,11882,10564,10706,11300,10904,10738,11393
26,5.695,71.049,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,26,0,0,null,null,null,null,null,null,null,14234.5,100-4_P1-C-1_01_13561,71.04900:27758 72.05367:1172 73.05834:0,null,14231,14377,14042,14599,14428,14740,15247,14796,13769,13898,14634,14076,13830,15309,14051,13188,13557,14203,14313,15515,14733,14708,13603,13995,13168
27,7.541,72.04458,"no MS2: N,N-Dimethylformamide",[M-H]-,null,0.64,FALSE,-1,72.04549,C3H7NO,Tertiary carboxylic acid amides,ZMXDDKWLCZADIW-UHFFFAOYSA-N,O=CN(C)C,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,27,0,0,1,null,null,null,-1,-1,0.332,1168.09,100-10_P1-C-1_01_13567,72.04488:1688 73.04955:0 74.05422:0,null,910,1129,1145,1184,1158,1124,1014,853,1035,958,1061,1113,956,1138,1300,992,1104,886,869,1470,1015,1298,1405,976,1013
28,19.952,72.96865,Unknown,[M-H]-,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,28,0,0,null,null,null,null,null,null,null,55.74,100-10_P1-C-1_01_13567,72.96865:7222 73.97332:0 74.97799:0,null,6681,7030,5420,6263,6524,6560,6798,6474,6095,6190,6110,6833,6584,6707,6475,6336,6893,6618,6385,6503,6108,6249,6580,6144,6496
29,7.876,72.99228,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,29,0,0,null,null,null,null,null,null,null,2532.6,100-13_P1-C-1_01_13570,72.99228:5456 73.99695:370 75.00161:23508,null,2381,2733,2484,2233,2950,2668,2488,2864,2408,2467,2713,2512,2370,2732,2509,2376,2375,2552,2082,2603,2657,2453,2518,2608,2638
30,5.444,73.01073,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,30,0,0,null,null,null,null,null,null,null,8821.09,100-10_P1-C-1_01_13567,73.01073:26252 74.01539:3526 75.02006:558,null,12220,13356,12597,11894,11220,12068,11130,12436,10000,10927,11464,11306,11415,10796,12503,11338,11182,12125,11855,12115,11592,10571,11164,12049,12149
31,4.851,73.02841,no MS2: Methylacetate,[M-H]-,null,1,FALSE,-1,73.0295,C3H6O2,Methyl esters,KXKVLQRXCPHEJC-UHFFFAOYSA-N,O=C(OC)C,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,31,0,0,1,null,null,null,-1,-1,0.333,30.96,100-17_P1-C-1_01_13574,73.02895:2542 74.03362:0 75.03829:0,null,2424,2086,2246,2068,2270,2121,2116,2060,2273,2074,2732,2373,2312,2144,2398,2302,2356,2239,2388,2361,2170,2424,2567,2310,2286
32,7.648,73.02856,no MS2: Methylacetate,[M-H]-,null,1,FALSE,-1,73.0295,C3H6O2,Methyl esters,KXKVLQRXCPHEJC-UHFFFAOYSA-N,O=C(OC)C,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,32,0,0,1,null,null,null,-1,-1,0.333,92.05,100-25_P1-C-1_01_13582,73.02916:8394 74.03383:2374 75.03850:0,null,5258,6251,5592,5499,6328,5587,5903,5738,5968,5501,5829,5407,6136,5650,6236,5398,5909,5248,5760,5919,6081,5433,5930,5241,5730
33,6.451,73.02861,no MS2: Methylacetate,[M-H]-,null,1,FALSE,-1,73.0295,C3H6O2,Methyl esters,KXKVLQRXCPHEJC-UHFFFAOYSA-N,O=C(OC)C,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,33,0,0,1,null,null,null,-1,-1,0.333,96.49,100-25_P1-C-1_01_13582,73.02910:12556 74.03377:472 75.03843:0,null,5552,6100,6670,5628,5849,5882,6327,5826,5056,6004,5850,4874,6096,6227,6579,5801,5845,6383,5599,5575,5581,6204,6474,5883,5818
34,9.722,73.02874,no MS2: Methylacetate,[M-H]-,null,1,FALSE,-1,73.0295,C3H6O2,Methyl esters,KXKVLQRXCPHEJC-UHFFFAOYSA-N,O=C(OC)C,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,34,0,0,1,null,null,null,-1,-1,0.333,146.98,100-25_P1-C-1_01_13582,73.02901:10280 74.03367:3258 75.03834:0,null,8817,9538,9073,8794,9488,9246,9032,8628,8845,9117,8416,8462,8758,9119,9335,9124,8867,7640,8087,8789,9281,8494,8324,9410,9123
35,5.147,74.02348,no MS2: GLYCINE,[M-H]-,null,1,FALSE,-1,74.0242,C2H5NO2,Alpha amino acids,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,35,0,0,1,null,null,null,-1,-1,0.333,6397.64,100-25_P1-C-1_01_13582,74.02420:8728 75.02887:0 76.03354:0,null,6829,7750,7783,6993,7095,7180,7466,7145,7103,6751,6991,7170,7286,6962,7298,7258,7040,6503,7030,6909,7405,7798,7245,7228,7181
36,9.057,74.02348,no MS2: GLYCINE,[M-H]-,null,1,FALSE,-1,74.0242,C2H5NO2,Alpha amino acids,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,36,0,0,1,null,null,null,-1,-1,0.333,2664.28,100-21_P1-C-1_01_13578,74.02421:4396 75.02888:0 76.03354:0,null,2760,2331,2333,2884,2975,2422,2759,2623,3018,2963,2790,2501,2928,2892,2460,2824,2774,2582,2477,2547,2582,2780,2415,2686,2338
37,9.539,74.02358,no MS2: GLYCINE,[M-H]-,null,1,FALSE,-1,74.0242,C2H5NO2,Alpha amino acids,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,37,0,0,1,null,null,null,-1,-1,0.333,11874.88,100-25_P1-C-1_01_13582,74.02430:20902 75.02897:826 76.03364:0,null,10569,11472,12230,12365,11708,12264,12112,11282,11926,11663,12473,11478,12116,11382,12034,11909,12030,11376,11993,12160,12216,12114,12230,12487,11630
38,7.555,74.02379,no MS2: GLYCINE,[M-H]-,null,1,FALSE,-1,74.0242,C2H5NO2,Alpha amino acids,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,38,0,0,1,null,null,null,-1,-1,0.333,4152.55,100-1_P1-C-1_01_13558,74.02406:5936 75.02873:0 76.03340:0,null,4171,4594,4178,3997,4416,4366,3928,4479,4147,3827,4449,3969,4433,4316,4131,3858,4286,3757,4085,3662,4270,3981,4307,4206,4260
39,5.568,74.02393,no MS2: GLYCINE,[M-H]-,null,1,FALSE,-1,74.0242,C2H5NO2,Alpha amino acids,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,39,0,0,1,null,null,null,-1,-1,0.333,6266.83,100-25_P1-C-1_01_13582,74.02421:18866 75.02888:554 76.03354:0,null,8058,7097,7432,6991,6307,6134,6929,6711,7119,8417,6847,5929,7499,6702,7688,6522,7036,7856,6678,6063,6392,6182,6970,5990,8834
40,8.761,75.00745,no MS2: Glycolic acid,[M-H]-,null,1,FALSE,-1,75.00877,C2H4O3,Alpha hydroxy acids and derivatives,AEMRFAOFKBGASW-UHFFFAOYSA-N,O=C(O)CO,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,40,0,0,1,null,null,null,-1,-1,0.332,1573.19,100-19_P1-C-1_01_13576,75.00809:21446 76.01275:488 77.01742:0,null,12136,12952,13609,13506,12630,13398,12759,13538,12830,13394,13724,12232,13408,13963,13768,13095,14518,12494,12890,13144,13438,14024,13405,13083,12544
41,6.22,75.00745,no MS2: Glycolic acid,[M-H]-,null,1,FALSE,-1,75.00877,C2H4O3,Alpha hydroxy acids and derivatives,AEMRFAOFKBGASW-UHFFFAOYSA-N,O=C(O)CO,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: Negative_MSMS_ver15&NIST20_20211222_1,FALSE,FALSE,41,0,0,1,null,null,null,-1,-1,0.333,246.63,100-19_P1-C-1_01_13576,75.00847:2844 76.01314:1656 77.01780:0,null,2069,1937,1974,1976,1592,2266,2133,2040,1941,2229,2119,2020,2447,1939,2018,2136,1958,2018,1838,1793,1913,2017,1985,1814,2049
